Parent	Rule	D1	D2	revisedXrule	revisedYrule	revisedZrule
ABplpaaa	0	ABplpaaaa	ABplpaaap	0.899582258	0.125118364	-0.035297416
ABplpaap	0	ABplpaapa	ABplpaapp	0.940671257	0.076709593	0.117022188
ABplpap	0	ABplpapa	ABplpapp	0.955166759	-0.071687518	0.189900224
ABplpapa	0	ABplpapaa	ABplpapap	0.952522948	0.103760018	0.109645006
ABplpapp	0	ABplpappa	ABplpappp	0.977065858	0.037224539	-0.032513127
ABplpappa	0	ABplpappaa	ABplpappap	0.946087422	-0.039123791	0.083273079
ABplpp	0	ABplppa	ABplppp	0.637810867	0.367221256	0.62136855
ABplppa	0	ABplppaa	ABplppap	0.952881908	-0.000350185	0.189390176
ABplppaa	0	ABplppaaa	ABplppaap	0.954158335	0.046213304	0.003369425
ABplppap	0	ABplppapa	ABplppapp	0.918356013	0.049373915	0.075530794
ABplppp	0	ABplpppa	ABplpppp	0.887884659	-0.117812928	0.358241307
ABplpppa	0	ABplpppaa	ABplpppap	0.893451306	-0.18074766	-0.217664344
ABplpppp	0	ABplppppa	ABplppppp	0.863201015	-0.348926519	-0.022255376
ABpr	a0ya	ABpra	ABprp	0.339747932	0.899079302	0.088844084
ABpra	0	ABpraa	ABprap	0.880232547	0.152345888	-0.413688611
ABpraa	0	ABpraaa	ABpraap	0.661639293	0.560246574	0.419383234
ABpraaa	a0zp	ABpraaaa	ABpraaap	0.593326278	0.299640296	-0.702957881
ABpraaaa	0	ABpraaaaa	ABpraaaap	0.809667271	-0.240091391	-0.319439337
ABpraaap	0	ABpraaapa	ABpraaapp	0.857663018	0.210012035	-0.272727803
ABpraaapp	0	ABpraaappa	ABpraaappp	0.848193206	-0.404974981	-0.167714788
ABpraap	0	ABpraapa	ABpraapp	0.556167496	0.501802891	-0.559503523
ABpraapa	0	ABpraapaa	ABpraapap	0.876851448	0.151708211	-0.252064704
ABpraapp	0	ABpraappa	ABpraappp	0.908626125	0.274239984	0.013152516
ABprap	0	ABprapa	ABprapp	0.82114292	0.480397128	0.171464854
ABprapa	0	ABprapaa	ABprapap	0.617746283	0.570859164	-0.426334086
ABprapaa	0	ABprapaaa	ABprapaap	0.918726676	0.232580328	0.01034969
ABprapap	0	ABprapapa	ABprapapp	0.827967707	0.486779064	0.078580532
ABprapp	i0ya	ABprappa	ABprappp	0.281084884	0.830719431	-0.312546338
ABprappa	0	ABprappaa	ABprappap	0.796054015	0.559265341	-0.021447638
ABprappp	a0ya	ABprapppa	ABprapppp	0.386443761	0.815751156	0.325255587
ABprp	0	ABprpa	ABprpp	0.836742664	-0.004433302	-0.419148119
ABprpa	0	ABprpaa	ABprpap	0.485904852	0.804031375	0.176579537
ABprpaa	0	ABprpaaa	ABprpaap	0.683624734	0.349523433	-0.543873112
ABprpaaa	0	ABprpaaaa	ABprpaaap	0.951334937	0.019079273	0.053369545
ABprpaap	0	ABprpaapa	ABprpaapp	0.891949193	0.18626006	0.134993979
ABprpap	a0ya	ABprpapa	ABprpapp	0.50080962	0.807794643	-0.139436526
ABprpapa	0	ABprpapaa	ABprpapap	0.945021202	0.203410779	0.040046965
ABprpapp	0	ABprpappa	ABprpappp	0.905633633	0.325465795	-0.111670305
ABprpp	i0ya	ABprppa	ABprppp	0.219764721	0.911663437	0.210084483
ABprppa	a0ya	ABprppaa	ABprppap	0.508357704	0.625490222	-0.525689279
ABprppaa	0	ABprppaaa	ABprppaap	0.860255258	0.303331902	0.279747077
ABprppap	0	ABprppapa	ABprppapp	0.857643787	0.404560112	-0.021663058
ABprppp	i0ya	ABprpppa	ABprpppp	0.066471531	0.927898443	-0.125795034
ABprpppa	0	ABprpppaa	ABprpppap	0.66596065	0.62993285	-0.078844705
